Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Refined/Account/vw_rfn_as_all_dates_eff(Table),vw_rfn_as_all_dates_eff,Table,Table,,4/12/2019 11:36:53 AM,ird0sxw,5/02/2020 4:07:42 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Refined/Account/vw_rfn_as_all_dates_exp(Table),vw_rfn_as_all_dates_exp,Table,Table,,29/03/2020 12:17:31 PM,ird0sxw,29/03/2020 12:17:31 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Refined/Account/vw_rfn_as_custkey_all_dates(Table),vw_rfn_as_custkey_all_dates,Table,Table,,1/10/2019 4:07:59 PM,ird0sxw,12/12/2019 3:52:34 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Refined/Account/vw_rfn_as_custkey_dates_mapped(Table),vw_rfn_as_custkey_dates_mapped,Table,Table,,1/10/2019 4:07:59 PM,ird0sxw,12/12/2019 3:52:34 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Refined/Account/vw_rfn_as_dockey_all_dates(Table),vw_rfn_as_dockey_all_dates,Table,Table,,1/10/2019 4:07:59 PM,ird0sxw,12/12/2019 3:52:34 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Refined/Account/vw_rfn_as_dockey_dates_mapped(Table),vw_rfn_as_dockey_dates_mapped,Table,Table,,1/10/2019 4:07:59 PM,ird0sxw,12/12/2019 3:52:34 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_account_halts_d(Table),crw_ae_account_halts_d,Table,Table,,10/10/2019 2:08:58 PM,ird0sxw,6/04/2020 7:21:18 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_account_halts_f(Table),crw_ae_account_halts_f,Table,Table,,10/10/2019 2:08:58 PM,ird0sxw,23/03/2020 10:22:53 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_account_halts_r(Table),crw_ae_account_halts_r,Table,Table,,3/12/2019 4:48:31 PM,ird0sxw,6/04/2020 7:21:10 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_client_names_d(Table),crw_ae_client_names_d,Table,Table,,10/10/2019 12:27:56 PM,ird0sxw,10/10/2019 12:27:56 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_client_names_f(Table),crw_ae_client_names_f,Table,Table,,10/10/2019 12:27:56 PM,ird0sxw,10/10/2019 12:27:56 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_clients_d(Table),crw_ae_clients_d,Table,Table,,10/10/2019 12:09:44 PM,ird0sxw,10/10/2019 12:09:44 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_clients_f(Table),crw_ae_clients_f,Table,Table,,10/10/2019 12:09:44 PM,ird0sxw,10/10/2019 12:09:44 PM,ird0mxw
