Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_ratxndebtragngdtl(Table),app_tblnz_ratxndebtragngdtl,Table,Table,,1/04/2020 10:03:30 AM,ird0dxi,1/04/2020 10:03:30 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_relationshipchild(Table),app_tblnz_relationshipchild,Table,Table,,19/12/2019 11:20:46 AM,ird0nxl,16/03/2020 3:32:03 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_relationshippartner(Table),app_tblnz_relationshippartner,Table,Table,,30/08/2019 3:17:01 PM,ird0nxl,16/03/2020 3:34:28 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_relationshprolervrs(Table),app_tblnz_relationshprolervrs,Table,Table,,4/05/2020 11:01:37 AM,ird0nxl,4/05/2020 11:01:37 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_relatnshpchldtopcg(Table),app_tblnz_relatnshpchldtopcg,Table,Table,,30/08/2019 3:01:17 PM,ird0nxl,16/03/2020 3:40:48 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_relnshipchildprd(Table),app_tblnz_relnshipchildprd,Table,Table,,4/05/2020 11:04:15 PM,ird0dxm,4/05/2020 11:04:15 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_relprtnrprd(Table),app_tblnz_relprtnrprd,Table,Table,,1/05/2020 9:40:18 AM,ird0dxi,1/05/2020 9:40:18 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnail(Table),app_tblnz_rtnail,Table,Table,,11/05/2020 11:59:53 AM,ird0dxi,11/05/2020 11:59:53 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnaile(Table),app_tblnz_rtnaile,Table,Table,,13/05/2020 5:44:36 PM,ird0rxa,13/05/2020 5:44:36 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnaileincomeinfo(Table),app_tblnz_rtnaileincomeinfo,Table,Table,,15/05/2020 7:52:33 AM,ird0qal,15/05/2020 7:52:33 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnailelineitem(Table),app_tblnz_rtnailelineitem,Table,Table,,13/05/2020 9:03:15 AM,ird0rxa,13/05/2020 9:03:15 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnattributes(Table),app_tblnz_rtnattributes,Table,Table,,10/07/2019 1:06:24 PM,ird0dxi,21/04/2020 11:21:32 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtncfc(Table),app_tblnz_rtncfc,Table,Table,,15/05/2020 12:57:27 PM,ird0rxa,15/05/2020 12:57:27 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnconversion(Table),app_tblnz_rtnconversion,Table,Table,,23/04/2020 11:57:31 AM,ird0nxl,23/04/2020 11:57:31 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtndwt(Table),app_tblnz_rtndwt,Table,Table,,11/05/2020 12:07:06 PM,ird0dxi,11/05/2020 12:07:06 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtndwte(Table),app_tblnz_rtndwte,Table,Table,,12/05/2020 7:04:21 AM,ird0dxi,12/05/2020 7:04:21 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtndwteincomeinfo(Table),app_tblnz_rtndwteincomeinfo,Table,Table,,15/05/2020 10:09:57 AM,ird0dxi,15/05/2020 10:09:57 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtndwtelineitem(Table),app_tblnz_rtndwtelineitem,Table,Table,,11/05/2020 1:11:45 PM,ird0dxi,11/05/2020 1:11:45 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnfamconversion(Table),app_tblnz_rtnfamconversion,Table,Table,,15/05/2020 10:46:45 AM,ird0dxi,15/05/2020 10:46:45 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnfamsquareup(Table),app_tblnz_rtnfamsquareup,Table,Table,,12/02/2020 2:11:23 PM,ird0axs,16/03/2020 3:41:09 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnfbtqtr(Table),app_tblnz_rtnfbtqtr,Table,Table,,12/05/2020 6:43:12 AM,ird0dxi,12/05/2020 6:43:12 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnfbtshr(Table),app_tblnz_rtnfbtshr,Table,Table,,15/05/2020 8:42:33 AM,ird0qal,15/05/2020 8:42:33 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnfif(Table),app_tblnz_rtnfif,Table,Table,,19/05/2020 6:18:19 PM,ird0rxa,19/05/2020 6:18:19 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnfifinc(Table),app_tblnz_rtnfifinc,Table,Table,,11/06/2020 3:01:38 PM,ird0nxl,11/06/2020 3:01:38 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtnfinanstmts(Table),app_tblnz_rtnfinanstmts,Table,Table,,29/08/2019 3:58:52 PM,ird0nxl,16/03/2020 3:41:20 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtngmd(Table),app_tblnz_rtngmd,Table,Table,,12/05/2020 8:26:01 AM,ird0dxi,12/05/2020 8:26:01 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblnz_rtngst(Table),app_tblnz_rtngst,Table,Table,,11/07/2019 11:32:13 AM,ird0dxi,16/03/2020 3:41:31 PM,ird0nxl
