Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lancustomerlevel Cleanse(Job),crw_ps_lancustomerlevel Cleanse,Job,Job,,2/09/2019 3:28:24 PM,ird0sxw,24/04/2020 9:09:43 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lancustomerlevel Commit(Job),crw_ps_lancustomerlevel Commit,Job,Job,,2/09/2019 3:28:24 PM,ird0sxw,24/04/2020 9:09:54 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lancustomersubtype Cleanse(Job),crw_ps_lancustomersubtype Cleanse,Job,Job,,2/09/2019 3:33:09 PM,ird0sxw,24/04/2020 9:10:07 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lancustomersubtype Commit(Job),crw_ps_lancustomersubtype Commit,Job,Job,,2/09/2019 3:33:09 PM,ird0sxw,24/04/2020 9:10:21 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lancustomertype Cleanse(Job),crw_ps_lancustomertype Cleanse,Job,Job,,30/08/2019 10:20:06 AM,ird0sxw,24/04/2020 9:10:32 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lancustomertype Commit(Job),crw_ps_lancustomertype Commit,Job,Job,,30/08/2019 10:20:06 AM,ird0sxw,24/04/2020 9:10:42 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lannz_customerclass Cleanse(Job),crw_ps_lannz_customerclass Cleanse,Job,Job,,2/09/2019 3:38:28 PM,ird0sxw,24/04/2020 9:10:55 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lannz_customerclass Commit(Job),crw_ps_lannz_customerclass Commit,Job,Job,,2/09/2019 3:38:28 PM,ird0sxw,24/04/2020 9:11:06 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lannz_customersegments Cleanse(Job),crw_ps_lannz_customersegments Cleanse,Job,Job,,2/09/2019 3:42:43 PM,ird0sxw,24/04/2020 9:11:33 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lannz_customersegments Commit(Job),crw_ps_lannz_customersegments Commit,Job,Job,,2/09/2019 3:42:43 PM,ird0sxw,24/04/2020 9:11:45 AM,ird0mxw
